Name,Twitter Handle,Wallet Address,Avatar,Side 1,Side 2,Side 3,Side 4,Side 5,Side 6,Side 7,Side 8,Side 9,Side 10,Side 11,Side 12,Side 13,Side 14,Side 15,Side 16,Side 17,Side 18
MOG,https://x.com/10piecedawg,EtuuyC1njBScPtYFpuDP6mxdkfTcs9zbUbJGheHzof3t,/avatars/EtuuyC1njBScPtYFpuDP6mxdkfTcs9zbUbJGheHzof3t.png,FFbQ2rWioL4e5kp7Diq1qq2zLN4fyf8ChvppTZbdm5ZD,gmgn52p7bYTWA5uCKfFbVQjsfEm9ePaDiGngWyw7K1D,E53op6tUkUHDyfg9TFrLcsnTsd9TKCqTzC8EkFrVw63A,6M1H2kUQxkVABVYGtBpyQyP3H4DFVjGnd7hVo9Gng1Lo,EVbTQp6r3mAj5bhJUDaQYpxS6uRfZy1GiDHTqRQvHCwR,yaaynqZGUmCeRXM8y8FGrRFstzkumdMuJGiXec4gyGG,9pgKiUsNHXMe5p4DoGwzT9i6of7XympnNJ5TgbrZVqk6,DLBX5NNx4RNraXNb8tgmyKD31QiMj533s3vLYM4wpRVC,,,,,,,,,,
Leweegi,https://x.com/leweegi,,,C45Bxrcag8Ww2ga9Bn7bDHedgchZCiYF3UboQJVNZ4Un,HLd36zMuxj3Mh2iKtChYnuj8wU4eCU4RexFxhBfHNMDN,13XVAti5npAwrpQwjU1Sh9twGBa5z4QQS2ov3sPLutAn,ARGarJ5K8sugLEsXL5Futh6bvifqqD1ixTdHvFSfXAij,,,,,,,,,,,,,,
Beanz,,VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1,,VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1,5suj5CA91EKzD9x3BBhyay5eDmNwMnquntAJADNLaews,H84Wda2aSgKV1daCVV9ozWrSurjVnoSLY5GAymYArGPg,54xrJ798DGwH1UA2H35QtAzKT55t8pL8bjBs9Arz3eoP,M9zithUetHT3DmEvPj5e8R9zGSmWtmmjZPceU8efwoJ,4NHB6pWsQhb5XJKBEobmMcLCpQyPxLDfL4LXohyy3QRi,GALp9qyqMTzX92DqYaDPoyQx68u6CKpBag44JysodDgr,7TNYdvwDzuRKvquzn24grcGwvrtpsYK58GAWdRBnm3UT,,,,,,,,,,
Chairman,https://x.com/Chairman_DN,Be24Gbf5KisDk1LcWWZsBn8dvB816By7YzYF5zWZnRR6,,,,,,,,,,,,,,,,,,,
Beaver,https://x.com/beaverd,GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN,/avatars/GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN.png,ADK5bL6G19rx4giRNyV2KizWL82qm75wRRBtJ62uoXvU,BJiny8k4WSBoYHVRv31QZerzpy1LNnZLXLEH2eGM2k18,3PcY2WSwuDjSYLoJTCByo9HrKLKZ1RuSoeTiRAio1Wds,9MLZs9ZhcLUtDsRV4FZV29mBeSQN8pXHyCykCAts2M8D,3XXvyGXSTTddrjfXkLqmLacca23fvziRoARavHGXJztv,Hrjnq6dJbSNM3pZTnjYyWKMPLakio8CjvN6j5k6aV6ht,,,,,,,,,,,,
SpiderCrypto,https://x.com/SpiderCrypto0x,73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,,7RSuMr3MHCRipvFT7mmVbc5gjMs5h6Ga2Am6HGAVEW9A,BDRubJ9jipMhGEte1279ZbqVC4bWrvZ7A4acfJfSRHYY,7HewmqQeqNfTqd2n78CEHkhkUqTp4PYdEGn8tKhLQjYu,,,,,,,,,,,,,,,
Gake,https://x.com/Ga__ke,DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,/avatars/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm.png,EwTNPYTuwxMzrvL19nzBsSLXdAoEmVBKkisN87csKgtt,Gwv9NGzyQvUPYk7A5mhDXHVL88P39Eoz9omQ1SVgguMv,D37KwuoeLJJqVkD9EPaLD4zfwAZdp7WnH6BoJ5BPJ8rb,CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,Aur12GB1FUL2VKhKP3fiqypMUQ6UuqkWJmyA5q7D9XB4,,,,,,,,,,,,,
Log,https://x.com/Log100x,2pUUZYtokRgDV2YzL6M5pjb1jyoHE367yU1sdQ7ac3ea,/avatars/2pUUZYtokRgDV2YzL6M5pjb1jyoHE367yU1sdQ7ac3ea.png,7PUPJAJckD9tdXTnNzwaetCuZdbkwJHcQFeZp7LbRDRi,9iT8qa1p9tHopR7AqGgAiuTeYseZWh328XJRqRfWSP2s,,,,,,,,,,,,,,,,
Pain,https://x.com/ipaincharts,GEpM1SmE8ExgznJwyZX64F2Mv5LLFgvBCxm5zNWYUXL4,/avatars/GEpM1SmE8ExgznJwyZX64F2Mv5LLFgvBCxm5zNWYUXL4.png,DmQphJJn7PywwvXnw3T223uzRF5YBhjz9zwbyQPSitUQ,HAN61KQbgzjDBC4RpZJ1ET8v32S4zdKAjoD7EApJ96q6,6zb5dLaruXJHEVWkHRUjgwfUgAkWpFhEPkt4rHrMQKpP,,,,,,,,,,,,,,,
Dior,https://x.com/Dior100x,87rRdssFiTJKY4MGARa4G5vQ31hmR7MxSmhzeaJ5AAxJ,/avatars/87rRdssFiTJKY4MGARa4G5vQ31hmR7MxSmhzeaJ5AAxJ.png,8Rvar266qMcrTyRovbnZ7m76Jn6fTQF1NpNt3xgzq3nd,5z6uv3yKKgsxVbuLhDiLELrAVfwXKqSv9WwNyPaCNxGp,21ppdmxe9MMnaCTmWxU1ikqAUnC1AkmTHRL5tjhduCKK,2pSaeEW524fBC3Smon14UqGSdYebw6x1XuU9zEsz1WXt,D2wBctC1K2mEtA17i8ZfdEubkiksiAH2j8F7ri3ec71V,,,,,,,,,,,,,
Lexapro,https://x.com/LexaproTrader,8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj,,,,,,,,,,,,,,,,,,,
Orange,https://x.com/OrangeSBS,2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv,/avatars/2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv.png,6kiD2FuYrXJwB7AX19Ng3ogfEaRAUho4PbPxUwP4TLQk,,,,,,,,,,,,,,,,,
Orangie,https://x.com/orangie,DuQabFqdC9eeBULVa7TTdZYxe8vK8ct5DZr4Xcf7docy,/avatars/DuQabFqdC9eeBULVa7TTdZYxe8vK8ct5DZr4Xcf7docy.png,,,,,,,,,,,,,,,,,,
Mitch,https://x.com/idrawline,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,/avatars/4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t.png,,,,,,,,,,,,,,,,,,
Slingoor,https://x.com/slingoorio,6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd,,GZwjWyB98wcnLUJENQ2TYRdsAUqPUur5NQtM2eqzUVjU,7NNDtyfHMrjhMoBzi3QyEmpp73gmCxWxqM8cm3unVjUS,Hv9ZVtq6DkPiGru9yzQR4v6tfhRNPhgeruDc3MgodSUe,6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd,Ep2DxWxwgqDgN4mTrL1BtZh69HJ3KfAQ47gbT6vpzxY4,2G86foXQaSJRwgSgjsXrDxkLFvnPTCDVfZWm9rwQbB9E,5aYhP7NXGHm4vQ9FdiYRgr53sHBMHVsCrFhbPfrCh3mV,7wFqF243x12tZ9H7zkoPjEKnQRxEj3RgWkAwCBMsF1DZ,Cce9MqAGnR996GchYrgcqe6NZYRxfbKTYg5vmDKwpump,,,,,,,,,
Waddles,https://x.com/waddles_eth,73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,,Ewn4p1M6RHrb7NRQRnK9kfmTzqc1g5x9NhuTvhwu7i94,9GTVJLduxXwUR6otWSYgDLatYJCab61wHB8Vcoi2FNEf,7G73LMoyNMUjwNrkuokrMwFPodS4LVLeizHaNCu6BzoL,E4vD9NJ5i97HnrxoCDtgXmTbAwQLXbdeX2sH7D6CMJy5,,,,,,,,,,,,,,
Zuki,https://x.com/zukiweb3,922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG,,BJrhtoMD1D6mnD4ruaDPTERy3bZjXZ4DY4rw1gVncz5C,,,,,,,,,,,,,,,,,
Gambles.sol,https://x.com/mastern0de3,GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa,/avatars/GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa.png,Hi5yNvPSfagdja5xjYMTYWnnjSE3ze5KsezTLfuD2mqd,DndmBGBE8F421agGF6gQgudHKS8R82UYaV6kC9j7FEap,DqtCPp1XqmcaY91L2DB3B11Amb7K3tDN8cTNdBNdKSK9,4Jf99DyaAoQzqtguAoQH9YDrCg5zT1ZLAEpQFPXkzpU3,C1PaT46K5PQRqpTm8oxZKzA7qJ2oWMaGgT4y7kpTeFWZ,Hh8NqLdtrx9fYGm2WaNhNRJ9yij5K1VNmm4dJYLSL9Fx,,,,,,,,,,,,
Art,https://x.com/ArtCryptoz,CgaA9a1JwAXJyfHuvZ7VW8YfTVRkdiT5mjBBSKcg7Rz5,/avatars/CgaA9a1JwAXJyfHuvZ7VW8YfTVRkdiT5mjBBSKcg7Rz5.png,BsvjGudtAhqR5YyiZ129KwQK2tugm6u78XvgULAJpTic,,,,,,,,,,,,,,,,,
Samsrep,https://x.com/samsrepx,CUHBzSPSaNS3tArEtM3maSV6pNdJhHJFYZpurPPK9P7H,/avatars/CUHBzSPSaNS3tArEtM3maSV6pNdJhHJFYZpurPPK9P7H.png,5sNnKuWKUtZkdC1eFNyqz3XHpNoCRQ1D1DfHcNHMV7gn,AQREi4dGVk9X4cuckX87pwnsrFtgdDSkfSoRfCaUtqYP,7aX1VDjtkUvhTB3nCLWkvMjoG6Ngh7zoF7vywJYHMqy2,,,,,,,,,,,,,,,
Cap,https://x.com/himothy,CAPn1yH4oSywsxGU456jfgTrSSUidf9jgeAnHceNUJdw,,FdWM3wofrQpRMuvDZqbP4zfXddYWw2CjNdwBcqboC8KD,,,,,,,,,,,,,,,,,
Danny Cladz,https://x.com/cladzsol,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK,/avatars/EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK.png,,,,,,,,,,,,,,,,,,
LetterBomb,https://x.com/ihateoop,BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr,/avatars/BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr.png,,,,,,,,,,,,,,,,,,
Solkcrow,https://x.com/runitbackghost,ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,/avatars/ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1.png,Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,Etg3VPToikL1FM1D1kiFGie1R6eCMFtSJ8xWnmW8KAxS,73Py8wutq6CkJpCeLYTc8vqUHgV8a38iUxKeJQQAJJCU,HeqsL23Jh4Pps4KvbsBDMc2CBKCGaByUUfb9v5VtNPWG,TffSohsKbZF1WDFfLEGJV4JE4dWf8yETfQuer8cxU6k,,,,,,,,,,,,,
Xet,https://x.com/xet,9yGxZ43ngT7LvwquVdUAYPvJzVyY65cS6mQvuJXjTEUc,,HNs8oatWhSx9j52FGCkruGSYF89rHYvckQHFY5Cz9ACH,6iwsM2pNWSCGxZ3q3aTEX7oEmcp99nEZmjQeuRu8o18q,nsZtEE77jV81bx7eF9Gt1hex1t2Aa7hhu5191Hin8cF,F4GnRh2tvdVLoArFrrUJD89Vy5ygAtGGf7G4Y9UqiZHS,A2P3fshPYUgCd2h1Zp8hZC6FgWdY7JMMsejc4yKVpzje,,,,,,,,,,,,,
Frank,https://x.com/frankdegods,498g1rVnFcnjBjpfw1xyqA1WvgQXUU8RWuELjxkjAayQ,,,,,,,,,,,,,,,,,,,
Missora,https://x.com/missoralways,5DVsXQbtPT7bUc6VTSXfdNP3rbqzyi5yfCmMEqDpfShv,,66gDJAy89NXfH1boMchUNx9trNbNhnbkCg3gMGUTx5WG,,,,,,,,,,,,,,,,,
Smokey,https://x.com/smokey0x,6My97BBVoJz3j7mQWFVz5pykFxMsCs44gjhaqmczcAND,,,,,,,,,,,,,,,,,,,
Limfork,https://x.com/Limfork,BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB,/avatars/BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB.png,Fyr3eVTySpfyczEzUFcJ3SPtEKRwWKhxsmAWLghwP3FL,,,,,,,,,,,,,,,,,
Ramset,https://x.com/Ramsetx,71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ,/avatars/71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ.png,6bRCGKi3pibc18umQp8k3RhP6xsmWHk4D28U6MB3ZFgf,,,,,,,,,,,,,,,,,
Fasher,https://x.com/FASHRCrypto,719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,/avatars/719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz.png,EG9rBwg9DWv6c98x3HnnBmVcRzZ4RTD9AUkt5RqKkyCb,,,,,,,,,,,,,,,,,
WaierG,https://x.com/Waiter1x,4cXnf2z85UiZ5cyKsPMEULq1yufAtpkatmX4j4DBZqj2,/avatars/4cXnf2z85UiZ5cyKsPMEULq1yufAtpkatmX4j4DBZqj2.png,7Np5tf39tpvFSzWnGpwa54NeFkocGdr8DzWVHLktGZGp,,,,,,,,,,,,,,,,,
Big Bags Bobby,https://x.com/bigbagsbobby,8oQoMhfBQnRspn7QtNAq2aPThRE4q94kLSTwaaFQvRgs,/avatars/8oQoMhfBQnRspn7QtNAq2aPThRE4q94kLSTwaaFQvRgs.png,5GD1RLpxWKLSsdvqVy6ANzDfwFDBPHfwfRBUoyyS9xZz,,,,,,,,,,,,,,,,,
Smokez,https://x.com/SmokezXBT,5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,,hMpKetAVAXyfRVghkbpzvr4zX189ygtpkHWEGWq8mpz,F3N2B45rXQ3ZJeJWPuu4vn7ihT9VfJZ4XYTdUrYRP9pD,,,,,,,,,,,,,,,,
Colercooks,https://x.com/ColerCooks,99xnE2zEFi8YhmKDaikc1EvH6ELTQJppnqUwMzmpLXrs,/avatars/99xnE2zEFi8YhmKDaikc1EvH6ELTQJppnqUwMzmpLXrs.png,6izaw8jHUdohFoRDvq4XAHJxr8s8trFWz1a8JkMvExhy,,,,,,,,,,,,,,,,,
